Dependency,Ecosystem - Type,Repos,Vulns (H/M/L),License,Sponsor,Parent
"path-to-regexp@8.4.2","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"router@2.2.0"
"use-sync-external-store@0.0.6","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"react-redux@9.3.0"
"diff-sequences@29.6.3","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"jest-diff@29.7.0"
"callsites@3.1.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"parent-module@1.0.1, source-map@29.6.3"
"queue-microtask@1.2.3","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"run-parallel@1.2.0"
"json-buffer@3.0.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"keyv@4.5.4"
"fs.realpath@1.0.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","ISC",No,"glob@7.2.3"
"inflight@1.0.6","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","ISC",No,"glob@7.2.3"
"path-is-absolute@1.0.1","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"glob@7.2.3"
"schema@0.1.6","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"istanbul-lib-instrument@6.0.3, babel-plugin-istanbul@6.1.1, test-exclude@6.0.0"
"make-dir@4.0.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"istanbul-lib-report@3.0.1"
"html-escaper@2.0.2","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"istanbul-reports@3.2.0"
"char-regex@1.0.2","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"string-length@4.0.2"
"load-nyc-config@1.1.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","ISC",No,"babel-plugin-istanbul@6.1.1"
"test-exclude@6.0.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","ISC",No,"babel-plugin-istanbul@6.1.1"
"yocto-queue@0.1.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"p-limit@3.1.0"
"babel__core@7.20.5","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"babel-jest@29.7.0, babel-plugin-jest-hoist@29.6.3"
"babel-preset-jest@29.6.3","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"babel-jest@29.7.0"
"co@4.6.0","npm - transitive","upload/upload/npm-bom","H:0 M:0 L:0","MIT",No,"jest-circus@29.7.0"
